2,  2,  1,  1,  189354,  1832853,  0,
2,  4,  0.298675,  1,  464236,  2445576,  0,
2,  8,  7.13059e-05,  1,  1037331,  2134603,  0,
2,  16,  5.18283e-16,  1,  2137172,  2162242,  0,
2,  32,  2.15205e-16,  1,  4422656,  2057800,  0,
2,  64,  3.47008e-16,  1,  8922324,  1897035,  0,
4,  2,  1,  1,  173538,  2187271,  0,
4,  4,  0.262474,  1,  435043,  2030946,  0,
4,  8,  0.000297351,  1,  995970,  2094545,  0,
4,  16,  1.48622e-11,  1,  2152295,  1915522,  0,
4,  32,  6.65087e-16,  1,  4448968,  2156395,  0,
4,  64,  7.56741e-16,  1,  8865394,  2236160,  0,
8,  2,  1,  1,  177498,  2456032,  0,
8,  4,  0.252156,  1,  440140,  2323564,  0,
8,  8,  0.0197977,  1,  1108071,  2624178,  0,
8,  16,  2.19117e-05,  1,  2176664,  1975712,  0,
8,  32,  1.34042e-12,  1,  4462720,  1964414,  0,
8,  64,  1.01404e-15,  1,  9077838,  1986305,  0,
16,  2,  1,  1,  174036,  2237103,  0,
16,  4,  0.196991,  1,  499900,  1972887,  0,
16,  8,  0.0237878,  1,  1085317,  2540692,  0,
16,  16,  0.000174888,  1,  2257605,  2298325,  0,
16,  32,  8.28844e-12,  1,  4580876,  1930915,  0,
16,  64,  1.05962e-15,  1,  9538314,  1893455,  0,
32,  2,  1,  1,  207570,  1962537,  0,
32,  4,  0.167413,  1,  543885,  2448557,  0,
32,  8,  0.0237813,  1,  1338800,  2315566,  0,
32,  16,  0.000334645,  1,  2696055,  1991671,  0,
32,  32,  1.18326e-11,  1,  5659293,  2066980,  0,
32,  64,  9.94643e-16,  1,  10253804,  1942243,  0,
64,  2,  1,  1,  278941,  1942284,  0,
64,  4,  0.141381,  1,  706998,  2084443,  0,
64,  8,  0.0202631,  1,  1595502,  2173833,  0,
64,  16,  0.000287323,  1,  3330388,  2033868,  0,
64,  32,  2.32385e-12,  1,  6067908,  1970971,  0,
64,  64,  3.69653e-12,  1,  7067787,  2426938,  0,
128,  2,  1,  1,  568633,  2141497,  0,
128,  4,  0.119138,  1,  1436276,  2588989,  0,
128,  8,  0.0144296,  1,  3266416,  1813060,  0,
128,  16,  6.13063e-06,  1,  6781980,  2179991,  0,
128,  32,  7.20736e-06,  1,  6762961,  2141522,  0,
128,  64,  7.21051e-06,  1,  7164543,  2422829,  0,
256,  2,  1,  1,  787359,  1791027,  0,
256,  4,  0.0962295,  1,  4450260,  1797642,  0,
256,  8,  0.0049288,  1,  6646633,  1848995,  0,
256,  16,  0.00488658,  1,  4132460,  2032691,  0,
256,  32,  0.00492577,  1,  5813759,  2000940,  0,
256,  64,  0.00491644,  1,  3243931,  2062629,  0,
512,  2,  1,  1,  1678713,  1991624,  0,
512,  4,  0.063228,  1,  1473365,  2239620,  0,
512,  8,  0.0634359,  1,  1826218,  1995832,  0,
512,  16,  0.0631718,  1,  2145815,  2028148,  0,
512,  32,  0.0630655,  1,  1716783,  2196817,  0,
512,  64,  0.0633321,  1,  1595696,  2243386,  0,
