2, 2, 510, 1892, 492, 0, 151, 1145403, 564636, 3975, 247, 0, 3, 490209, 1642882,
4, 2, 1164, 1965, 881, 463, 426, 1911401, 1426073, 3975, 276, 2, 5, 405168, 2325726,
8, 2, 589, 370, 1762, 1247, 356, 3472800, 3061507, 10278, 828, 4, 12, 582680, 4070926,
16, 2, 645, 633, 3784, 3495, 642, 7054454, 6601130, 3946, 1623, 8, 25, 371775, 7441030,
32, 2, 748, 1268, 7200, 8720, 1242, 12442946, 12092532, 3959, 3300, 16, 68, 323608, 12793075,
64, 2, 1032, 3094, 14854, 22912, 2456, 29387742, 29095894, 3961, 6710, 37, 221, 298452, 29741471,
2, 4, 1165, 465, 1642, 0, 206, 933533, 549188, 3872, 488, 0, 3, 339935, 1281309,
4, 4, 756, 1436, 3240, 164, 332, 1894939, 1518392, 3851, 746, 2, 6, 385034, 2290506,
8, 4, 853, 633, 6525, 561, 589, 3830847, 3460902, 3845, 1605, 5, 13, 385994, 4231470,
16, 4, 924, 2474, 12889, 1642, 1115, 7698129, 7344398, 3834, 3065, 11, 34, 384247, 8108364,
32, 4, 1196, 2900, 26288, 4458, 2135, 15471319, 15146370, 3826, 6285, 19, 119, 392196, 15910741,
64, 4, 1777, 7115, 52119, 23361, 4187, 30989775, 30747980, 3833, 13083, 40, 533, 423301, 31519124,
2, 8, 1213, 450, 5372, 0, 378, 937504, 553995, 7520, 719, 0, 3, 378485, 1331644,
4, 8, 1290, 762, 10764, 229, 646, 1923067, 1544818, 7534, 1460, 2, 5, 379585, 2325344,
8, 8, 1406, 1423, 21880, 867, 1150, 3894735, 3533482, 7504, 2960, 6, 17, 382186, 4314134,
16, 8, 1685, 3337, 44197, 3030, 2312, 7879482, 7554805, 7508, 5982, 12, 61, 384628, 8332234,
32, 8, 2140, 7316, 88396, 13692, 4247, 16001110, 15747215, 7501, 12476, 25, 269, 423721, 16560893,
64, 8, 3660, 21634, 177874, 75485, 8982, 32105630, 32070768, 7535, 25554, 48, 1453, 469310, 32897165,
2, 16, 2208, 858, 18557, 0, 839, 997864, 578988, 14697, 1506, 0, 4, 401883, 1438416,
4, 16, 2257, 1943, 36833, 982, 1644, 2064270, 1669198, 14712, 2967, 3, 10, 402481, 2528102,
8, 16, 2552, 3510, 74437, 3905, 3354, 4178346, 3830637, 14690, 6105, 6, 32, 408234, 4695171,
16, 16, 3160, 6786, 149878, 18027, 6373, 8434924, 8205206, 14707, 12464, 15, 145, 419142, 9065621,
32, 16, 4186, 20315, 302527, 79932, 12839, 16952985, 16987349, 14684, 25394, 33, 742, 451776, 17865413,
64, 16, 6713, 81764, 607409, 361453, 26266, 33938005, 34708197, 14717, 51736, 67, 4252, 556877, 35649259,
2, 32, 4021, 1832, 61083, 0, 3837, 1135712, 677805, 29013, 2970, 0, 6, 398503, 1636977,
4, 32, 4299, 3592, 123523, 2012, 7502, 2309984, 1929744, 29069, 5993, 4, 19, 401677, 2887674,
8, 32, 4895, 7438, 249695, 10307, 15167, 4684972, 4467581, 28929, 12113, 10, 79, 411686, 5425291,
16, 32, 6241, 20394, 495529, 46120, 29643, 9457930, 9566855, 28928, 24770, 21, 392, 436154, 10546122,
32, 32, 8060, 83763, 1003878, 207945, 59928, 19013666, 19916921, 28901, 50553, 38, 2218, 507497, 20966447,
64, 32, 13362, 305389, 2016859, 690402, 122989, 38248883, 41029066, 28938, 104662, 90, 14159, 750622, 42296355,
2, 64, 4280, 3735, 86685, 0, 10775, 1428761, 807211, 57644, 5986, 0, 18, 401133, 1999017,
4, 64, 4941, 7676, 173022, 11180, 20734, 2926283, 2425917, 57735, 11857, 10, 58, 409802, 3623298,
8, 64, 6032, 21886, 335733, 31684, 41208, 5900717, 5647567, 57789, 24096, 26, 236, 433056, 6852463,
16, 64, 7965, 84519, 678563, 131135, 83810, 11918756, 12214206, 57574, 50408, 60, 1200, 484321, 13498311,
32, 64, 13796, 300716, 1396588, 459337, 174607, 23951996, 25608325, 57565, 103164, 153, 7373, 652811, 27118106,
64, 64, 21879, 1240312, 2749545, 1723880, 354434, 48032445, 53174303, 57689, 206314, 307, 49562, 1200354, 55636721,
2, 128, 1152, 12528, 94830, 0, 26056, 2227351, 1199983, 115144, 11725, 0, 43, 402673, 2891502,
4, 128, 10347, 24220, 190838, 23886, 51163, 4471302, 3650195, 115083, 24760, 12, 164, 414482, 5326257,
8, 128, 11747, 88309, 398660, 77263, 104068, 8983077, 8556864, 115183, 51700, 36, 696, 458435, 10289174,
16, 128, 16522, 317161, 795034, 326722, 211495, 18077285, 18587522, 115054, 101711, 78, 4040, 593397, 20558499,
32, 128, 25710, 1244321, 1566193, 1325610, 420277, 36367314, 39413378, 115121, 201581, 164, 26002, 1034492, 42326785,
